,ds,y
1104,1991-03-03,0.0
1105,1991-03-10,0.0
1106,1991-03-17,0.0
1107,1991-03-24,0.0
1108,1991-03-31,0.0
1109,1991-04-07,0.0
1110,1991-04-14,0.0
1111,1991-04-21,0.0
1112,1991-04-28,0.0
1113,1991-05-05,0.0
1114,1991-05-12,0.0
1115,1991-05-19,0.0
1116,1991-05-26,0.0
1117,1991-06-02,0.0
1118,1991-06-09,0.0
1119,1991-06-16,0.0
1120,1991-06-23,0.0
1121,1991-06-30,0.0
1122,1991-07-07,0.0
1123,1991-07-14,0.0
1124,1991-07-21,0.0
1125,1991-07-28,0.0
1126,1991-08-04,0.0
1127,1991-08-11,0.0
1128,1991-08-18,0.0
1129,1991-08-25,0.0
1130,1991-09-01,0.0
1131,1991-09-08,0.0
1132,1991-09-15,0.0
1133,1991-09-22,0.0
1134,1991-09-29,0.0
1135,1991-10-06,0.0
1136,1991-10-13,0.0
1137,1991-10-20,0.0
1138,1991-10-27,0.0
1139,1991-11-03,0.0
1140,1991-11-10,0.0
1141,1991-11-17,0.0
1142,1991-11-24,0.0
1143,1991-12-01,0.0
1144,1991-12-08,0.0
1145,1991-12-15,0.0
1146,1991-12-22,0.0
1147,1991-12-29,0.0
1148,1992-01-05,0.0
1149,1992-01-12,0.0
1150,1992-01-19,0.0
1151,1992-01-26,0.0
1152,1992-02-02,0.0
1153,1992-02-09,0.0
1154,1992-02-16,0.0
1155,1992-02-23,0.0
1156,1992-03-01,0.0
1157,1992-03-08,0.0
1158,1992-03-15,0.0
1159,1992-03-22,0.0
1160,1992-03-29,0.0
1161,1992-04-05,0.0
1162,1992-04-12,0.0
1163,1992-04-19,0.0
1164,1992-04-26,0.0
1165,1992-05-03,0.0
1166,1992-05-10,0.0
1167,1992-05-17,0.0
1168,1992-05-24,0.0
1169,1992-05-31,0.0
1170,1992-06-07,0.0
1171,1992-06-14,0.0
1172,1992-06-21,0.0
1173,1992-06-28,0.0
1174,1992-07-05,0.0
1175,1992-07-12,0.0
1176,1992-07-19,0.0
1177,1992-07-26,0.0
1178,1992-08-02,0.0
1179,1992-08-09,0.0
1180,1992-08-16,0.0
1181,1992-08-23,0.0
1182,1992-08-30,0.0
1183,1992-09-06,0.0
1184,1992-09-13,0.0
1185,1992-09-20,0.0
1186,1992-09-27,0.0
1187,1992-10-04,0.0
1188,1992-10-11,0.0
1189,1992-10-18,0.0
1190,1992-10-25,0.0
1191,1992-11-01,0.0
1192,1992-11-08,0.0
1193,1992-11-15,0.0
1194,1992-11-22,0.0
1195,1992-11-29,0.0
1196,1992-12-06,0.0
1197,1992-12-13,0.0
1198,1992-12-20,0.0
1199,1992-12-27,0.0
1200,1993-01-03,0.0
1201,1993-01-10,0.0
1202,1993-01-17,0.0
1203,1993-01-24,0.0
1204,1993-01-31,0.0
1205,1993-02-07,0.0
1206,1993-02-14,0.0
1207,1993-02-21,0.0
1208,1993-02-28,0.0
1209,1993-03-07,0.0
1210,1993-03-14,0.0
1211,1993-03-21,0.0
1212,1993-03-28,0.0
1213,1993-04-04,0.0
1214,1993-04-11,0.0
1215,1993-04-18,0.0
1216,1993-04-25,0.0
1217,1993-05-02,0.0
1218,1993-05-09,0.0
1219,1993-05-16,0.0
1220,1993-05-23,0.0
1221,1993-05-30,0.0
1222,1993-06-06,0.0
1223,1993-06-13,0.0
1224,1993-06-20,0.0
1225,1993-06-27,0.0
1226,1993-07-04,0.0
1227,1993-07-11,0.0
1228,1993-07-18,0.0
1229,1993-07-25,0.0
1230,1993-08-01,0.0
1231,1993-08-08,0.0
1232,1993-08-15,0.0
1233,1993-08-22,0.0
1234,1993-08-29,0.0
1235,1993-09-05,0.0
